class,f1_score,precision,recall,support
,0.71,0.0,0.59,0.64
,0.6,1.0,0.49,0.54
,0.34,2.0,0.33,0.34
,0.09,3.0,0.16,0.12
,0.15,4.0,0.14,0.14
,0.36,5.0,0.4,0.38
,0.43,6.0,0.51,0.46
,0.4,7.0,0.33,0.36
,0.5,8.0,0.65,0.56
,0.58,9.0,0.66,0.62
    10,0.35,0.36,0.35,100.0
    11,0.29,0.38,0.24,100.0
    12,0.45,0.49,0.41,100.0
    13,0.27,0.46,0.19,100.0
    14,0.27,0.38,0.21,100.0
    15,0.24,0.31,0.2,100.0
    16,0.4,0.52,0.33,100.0
    17,0.56,0.46,0.72,100.0
    18,0.35,0.38,0.33,100.0
    19,0.29,0.38,0.24,100.0
    20,0.77,0.78,0.76,100.0
    21,0.5,0.48,0.52,100.0
    22,0.36,0.43,0.3,100.0
    23,0.43,0.33,0.65,100.0
    24,0.46,0.33,0.72,100.0
    25,0.3,0.35,0.26,100.0
    26,0.4,0.43,0.37,100.0
    27,0.28,0.22,0.4,100.0
    28,0.58,0.55,0.61,100.0
    29,0.42,0.56,0.34,100.0
    30,0.37,0.3,0.49,100.0
    31,0.29,0.31,0.27,100.0
    32,0.36,0.48,0.29,100.0
    33,0.3,0.22,0.48,100.0
    34,0.35,0.33,0.38,100.0
    35,0.18,0.31,0.13,100.0
    36,0.4,0.34,0.47,100.0
    37,0.36,0.48,0.29,100.0
    38,0.24,0.28,0.21,100.0
    39,0.4,0.49,0.34,100.0
    40,0.39,0.55,0.3,100.0
    41,0.63,0.76,0.54,100.0
    42,0.23,0.16,0.38,100.0
    43,0.43,0.35,0.56,100.0
    44,0.21,0.21,0.21,100.0
    45,0.27,0.3,0.25,100.0
    46,0.28,0.29,0.27,100.0
    47,0.43,0.38,0.49,100.0
    48,0.65,0.69,0.61,100.0
    49,0.53,0.44,0.66,100.0
    50,0.21,0.33,0.15,100.0
    51,0.34,0.34,0.34,100.0
    52,0.55,0.44,0.73,100.0
    53,0.71,0.65,0.77,100.0
    54,0.61,0.61,0.62,100.0
    55,0.04,0.25,0.02,100.0
    56,0.52,0.54,0.5,100.0
    57,0.5,0.61,0.43,100.0
    58,0.49,0.56,0.43,100.0
    59,0.29,0.26,0.34,100.0
    60,0.7,0.66,0.75,100.0
    61,0.56,0.5,0.63,100.0
    62,0.48,0.62,0.39,100.0
    63,0.3,0.25,0.38,100.0
    64,0.11,0.11,0.1,100.0
    65,0.24,0.27,0.22,100.0
    66,0.29,0.33,0.26,100.0
    67,0.33,0.31,0.36,100.0
    68,0.65,0.62,0.68,100.0
    69,0.59,0.58,0.61,100.0
    70,0.45,0.42,0.49,100.0
    71,0.64,0.6,0.68,100.0
    72,0.11,0.11,0.1,100.0
    73,0.32,0.3,0.35,100.0
    74,0.24,0.19,0.33,100.0
    75,0.52,0.45,0.61,100.0
    76,0.62,0.57,0.68,100.0
    77,0.19,0.24,0.16,100.0
    78,0.25,0.45,0.17,100.0
    79,0.37,0.33,0.42,100.0
    80,0.14,0.16,0.12,100.0
    81,0.36,0.4,0.33,100.0
    82,0.7,0.7,0.7,100.0
    83,0.39,0.53,0.31,100.0
    84,0.2,0.32,0.15,100.0
    85,0.53,0.45,0.63,100.0
    86,0.44,0.47,0.41,100.0
    87,0.5,0.5,0.5,100.0
    88,0.27,0.24,0.31,100.0
    89,0.46,0.47,0.45,100.0
    90,0.36,0.52,0.28,100.0
    91,0.52,0.56,0.49,100.0
    92,0.3,0.42,0.23,100.0
    93,0.22,0.26,0.19,100.0
    94,0.67,0.58,0.81,100.0
    95,0.47,0.52,0.43,100.0
    96,0.33,0.33,0.34,100.0
    97,0.34,0.27,0.47,100.0
    98,0.17,0.22,0.14,100.0
    99,0.44,0.62,0.34,100.0
avg / total,0.39,0.42,0.4,10000.0
