class,f1_score,precision,recall,support
    0,1.0,1.0,1.0,5.0
    1,1.0,1.0,1.0,6.0
    2,1.0,1.0,1.0,5.0
    3,0.92,1.0,0.86,7.0
    4,0.8,1.0,0.67,9.0
    5,1.0,1.0,1.0,8.0
    6,0.86,0.75,1.0,6.0
    7,1.0,1.0,1.0,9.0
    8,1.0,1.0,1.0,11.0
    9,1.0,1.0,1.0,6.0
   10,1.0,1.0,1.0,9.0
   11,1.0,1.0,1.0,13.0
   12,0.95,1.0,0.91,11.0
   13,1.0,1.0,1.0,5.0
   14,1.0,1.0,1.0,6.0
   15,1.0,1.0,1.0,8.0
   16,1.0,1.0,1.0,13.0
   17,0.92,0.86,1.0,6.0
   18,1.0,1.0,1.0,6.0
   19,1.0,1.0,1.0,12.0
   20,1.0,1.0,1.0,11.0
   21,1.0,1.0,1.0,10.0
   22,0.86,0.75,1.0,6.0
   23,1.0,1.0,1.0,11.0
   24,0.95,0.91,1.0,10.0
   25,1.0,1.0,1.0,9.0
   26,1.0,1.0,1.0,6.0
   27,1.0,1.0,1.0,7.0
   28,1.0,1.0,1.0,6.0
   29,1.0,1.0,1.0,10.0
   30,1.0,1.0,1.0,7.0
   31,1.0,1.0,1.0,1.0
   32,1.0,1.0,1.0,10.0
   33,1.0,1.0,1.0,11.0
   34,0.89,1.0,0.8,5.0
   35,0.88,0.92,0.85,13.0
   36,1.0,1.0,1.0,7.0
   37,0.94,0.89,1.0,8.0
   38,1.0,1.0,1.0,5.0
   39,1.0,1.0,1.0,6.0
avg / total,0.97,0.98,0.97,320.0
